公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
互道信息技术（上海）有限公司,NextTao 互道信息,上海,50-150人,本科,3-5年,13k-20k,B轮,全职,"技术前沿,大数据平台",,"""节日礼物"",""技能培训"",""年底双薪"",""年度旅游"""
小叶子（北京）科技有限公司,小叶子The ONE,北京,500-2000人,本科,在校/应届,3k-4k,D轮及以上,全职,"公司免费午晚餐,交通补助",人事主管,"""优秀团队"",""技术大牛多"",""五险一金"",""弹性工作"""
千寻位置网络有限公司,千寻位置,上海,500-2000人,本科,在校/应届,15k-30k,A轮,全职,阿里+中兵合资 餐补 补充商保 成长空间大,,"""节日礼物"",""股票期权"",""带薪年假"",""绩效奖金"""
上海脉策数据科技有限公司,脉策科技,上海,150-500人,本科,1-3年,10k-18k,B轮,全职,"弹性工作,薪酬福利好,技术驱动,大牛互助",行政人事,"""股票期权"",""定期体检"",""弹性工作"",""扁平管理"""
杭州图尔兹信息技术有限公司,图尔兹,杭州,15-50人,本科,在校/应届,13k-26k,天使轮,全职,大佬带队，工程师文化团队，广阔发展前景,HR,"""股票期权"",""绩效奖金"",""年终分红"""
中科弘云科技（北京）有限公司,中科弘云,北京,15-50人,本科,3-5年,15k-20k,A轮,全职,股权激励，13薪,,"""股票期权"",""绩效奖金"",""年度旅游"",""五险一金"""
上海众言网络科技有限公司,问卷网@众言科技,苏州,150-500人,本科,3-5年,10k-20k,C轮,全职,发展前景好、团队有干劲、福利待遇优,首席招聘官,"""技能培训"",""节日礼物"",""年底双薪"",""绩效奖金"""
深圳市有鱼智能科技有限公司,有鱼智能科技,北京,150-500人,本科,在校/应届,10k-20k,上市公司,全职,BAT班底，极客文化，环境极佳、零食水果,HRM,"""节日礼物"",""股票期权"",""带薪年假"",""绩效奖金"""
杭州云表汇通科技有限公司,云表汇通,杭州,15-50人,不限,在校/应届,8k-16k,A轮,全职,半年调薪,HR,
上海秋晟资产管理有限公司,秋晟资产,上海,15-50人,本科,1-3年,15k-18k,不需要融资,全职,补充公积金，带薪年假，年终奖，扁平化管理,行政,
深圳澳谷智能科技有限公司,深圳澳谷智能科技有限公司,深圳,15-50人,本科,3-5年,18k-30k,A轮,全职,机器人行业，国际化企业，优秀团队，周末双休,HR,"""机器人"",""海归团队"",""股票期权"",""10天年假"""
中国科学院信息工程研究所,中科院信工所,北京,500-2000人,本科,在校/应届,8k-9k,不需要融资,全职,优秀团队，工作稳定，免费体检，年终奖金,HR,"""免费班车"",""带薪年假"",""绩效奖金"",""岗位晋升"""
中国科学院信息工程研究所,中科院信工所,北京,500-2000人,本科,在校/应届,8k-9k,不需要融资,全职,优秀团队，工作稳定，免费体检，年终奖金,高级招聘专员,"""免费班车"",""带薪年假"",""绩效奖金"",""岗位晋升"""
北京博派通达科技有限公司,博派通达,北京,150-500人,大专,3-5年,15k-30k,C轮,全职,"周末双休,带薪年假,五险一金,节日福利",python开发工程师,"""年底双薪"",""股票期权"",""带薪年假"",""扁平管理"""
